# its =           20
# epsA =   1.00000000E-09
# T =    1.7338159765105317E+01
#       i    Re(Exponent)    Im(Exponent)  Re(Multiplier)  Im(Multiplier)       Magnitude           Angle
        1  1.18511706E-01  1.28685055E-01 -4.78768117E+00  6.16420254E+00  7.80508065E+00  2.23116205E+00
        2  7.19906571E-03 -1.81195277E-01 -1.13294286E+00  0.00000000E+00  1.13294286E+00  3.14159265E+00
        3 -3.89667824E-07  0.00000000E+00  9.99993244E-01  0.00000000E+00  9.99993244E-01  0.00000000E+00
        4 -1.34487464E-01  6.07315729E-02  4.80754270E-02  8.43910856E-02  9.71241577E-02  1.05297371E+00
        5 -2.17650044E-01  0.00000000E+00  2.29680484E-02  0.00000000E+00  2.29680484E-02  0.00000000E+00
        6 -2.38161899E-01 -1.81195277E-01 -1.60943168E-02  0.00000000E+00  1.60943168E-02  3.14159265E+00
        7 -2.74851198E-01  0.00000000E+00  8.51936069E-03  0.00000000E+00  8.51936069E-03  0.00000000E+00
        8 -3.33860343E-01 -1.81195277E-01 -3.06249920E-03  0.00000000E+00  3.06249920E-03  3.14159265E+00
        9 -3.95612620E-01  2.04615722E-02  9.84388043E-04  3.64655729E-04  1.04975884E-03  3.54766007E-01
       10 -4.04869774E-01  1.55206357E-01 -8.04853115E-04  3.89384184E-04  8.94096516E-04  2.69099261E+00
